Date,Open,High,Low,Close,Adj Close,Volume
2017/09/12,2682.25,2695.52,2672.28,2692.54,30788323,44847894528.00
2017/09/13,2690.56,2694.41,2676.25,2687.67,21197720,28986306560.00
2017/09/14,2688.40,2694.77,2666.82,2672.84,28586737,36529831936.00
2017/09/15,2669.65,2677.53,2659.73,2668.38,34648980,43243331584.00
2017/09/18,2670.20,2694.06,2670.20,2674.18,33134639,44470272000.00
2017/09/19,2680.72,2687.18,2661.61,2670.69,30087359,37488873472.00
2017/09/20,2667.24,2675.21,2661.87,2662.63,25367940,32883593216.00
2017/09/21,2664.05,2690.36,2660.53,2675.55,31753452,39541813248.00
2017/09/22,2666.67,2686.41,2662.84,2679.05,26359750,33471981568.00
2017/09/25,2672.95,2682.75,2667.31,2680.65,31981420,39930429440.00
2017/09/26,2673.54,2681.23,2673.40,2678.99,19283177,24098924544.00
2017/09/27,2674.41,2677.74,2659.60,2661.55,20058637,25198602240.00
2017/09/28,2661.54,2663.70,2653.46,2661.28,21661881,26189371392.00
2017/09/29,2661.52,2682.17,2660.86,2672.33,20204668,27595163648.00
2017/10/09,2736.83,2743.36,2688.54,2692.08,41489292,48635654144.00
2017/10/10,2693.25,2711.31,2671.94,2695.54,29974727,43282247680.00
2017/10/11,2694.50,2717.33,2692.77,2707.52,24598483,33211930624.00
2017/10/12,2706.42,2724.83,2702.31,2718.35,23922877,31885586432.00
2017/10/13,2716.00,2722.23,2711.95,2713.38,19273409,26260592640.00
2017/10/16,2719.31,2741.10,2715.05,2726.64,25575898,35091357696.00
2017/10/17,2725.20,2734.31,2716.40,2723.53,17979809,24598831104.00
2017/10/18,2725.67,2753.92,2723.76,2753.01,28260821,35436441600.00
2017/10/19,2750.64,2756.04,2743.13,2756.04,28617869,37232947200.00
2017/10/20,2744.49,2746.23,2733.72,2737.64,16098421,21717579776.00
2017/10/23,2744.32,2747.00,2732.63,2734.37,19546035,24707305472.00
2017/10/24,2732.94,2762.59,2730.84,2753.65,24870827,33123069952.00
2017/10/25,2753.93,2756.76,2746.27,2752.14,19646722,23785824256.00
2017/10/26,2760.06,2788.66,2753.73,2771.04,41473188,54784606208.00
2017/10/27,2770.53,2815.42,2769.43,2814.27,40301956,51199078400.00
2017/10/30,2812.24,2822.59,2780.05,2809.11,48004879,62621421568.00
2017/10/31,2795.54,2797.79,2785.16,2793.71,32370371,40543780864.00
2017/11/01,2795.19,2816.30,2782.06,2789.40,46204132,57994096640.00
2017/11/02,2788.11,2796.43,2771.15,2794.10,37526868,45419208704.00
2017/11/03,2789.54,2803.31,2770.12,2800.47,38906160,46914637824.00
2017/11/06,2798.47,2798.47,2776.95,2792.22,33268910,43470106624.00
2017/11/07,2794.19,2832.14,2792.70,2821.96,49368280,62260600832.00
2017/11/08,2818.67,2846.30,2811.11,2819.96,44768530,58278445056.00
2017/11/09,2814.57,2834.51,2809.96,2832.96,32704232,41950629888.00
2017/11/10,2828.12,2867.06,2827.74,2862.34,44198338,61842415616.00
2017/11/13,2865.78,2885.70,2865.72,2873.51,48459049,57913425920.00
2017/11/14,2876.75,2882.79,2853.78,2861.42,36037160,50380320768.00
2017/11/15,2848.77,2864.37,2839.46,2850.05,32974209,46704463872.00
2017/11/16,2840.36,2880.98,2840.36,2879.40,32051824,49388290048.00
2017/11/17,2868.52,2940.77,2867.59,2938.80,68472023,94406688768.00
2017/11/20,2916.74,2942.14,2897.20,2941.15,43840765,63399460864.00
2017/11/21,2928.92,3012.89,2927.61,2987.17,63648682,91543183360.00
2017/11/22,3001.95,3038.28,2989.82,3012.36,74555729,99081502720.00
2017/11/23,3003.78,3018.26,2919.65,2940.73,66990986,89773744128.00
2017/11/24,2934.45,2949.79,2907.10,2936.83,45426296,65421398016.00
2017/11/27,2928.36,2928.86,2885.60,2917.31,50187197,67344523264.00
2017/11/28,2900.08,2908.36,2872.53,2897.11,30693710,42668015616.00
