Date,Open,High,Low,Close,Adj Close,Volume
2017/03/10,6436.76,6464.60,6436.64,6447.92,6447.92,56359929
2017/03/13,6444.56,6508.07,6412.71,6507.90,6507.90,64912430
2017/03/14,6508.37,6518.78,6480.08,6493.48,6493.48,60271995
2017/03/15,6486.30,6499.54,6471.72,6486.06,6486.06,55750085
2017/03/16,6499.83,6543.34,6499.83,6543.34,6543.34,68654619
2017/03/17,6543.56,6555.58,6480.29,6483.25,6483.25,73063706
2017/03/20,6484.54,6498.57,6451.35,6498.34,6498.34,61644783
2017/03/21,6494.77,6516.01,6484.69,6515.95,6515.95,58995042
2017/03/22,6486.30,6514.63,6459.98,6499.79,6499.79,72273366
2017/03/23,6502.13,6533.65,6445.81,6512.19,6512.19,76911147
2017/03/24,6509.23,6552.75,6500.07,6546.62,6546.62,83547822
2017/03/27,6545.45,6555.79,6510.44,6516.03,6516.03,77482737
2017/03/28,6509.04,6519.09,6483.64,6498.69,6498.69,61262114
2017/03/29,6504.25,6522.51,6461.54,6480.54,6480.54,85614048
2017/03/30,6467.06,6471.94,6369.12,6375.74,6375.74,96512724
2017/03/31,6374.56,6402.22,6365.45,6401.65,6401.65,72082772
2017/04/05,6450.90,6539.97,6450.90,6539.97,6539.97,97014978
2017/04/06,6554.75,6569.70,6535.04,6559.65,6559.65,97471135
2017/04/07,6554.26,6593.95,6544.24,6578.73,6578.73,100596671
2017/04/10,6575.46,6595.20,6556.08,6566.54,6566.54,102529323
2017/04/11,6566.84,6632.00,6531.53,6629.17,6629.17,127738048
2017/04/12,6625.88,6626.76,6571.48,6576.48,6576.48,114173027
2017/04/13,6569.24,6627.70,6562.76,6615.70,6615.70,87711440
2017/04/14,6623.45,6623.80,6522.79,6528.16,6528.16,97511151
2017/04/17,6500.95,6502.04,6426.28,6456.60,6456.60,87532207
2017/04/18,6452.92,6491.81,6416.17,6418.21,6418.21,80185641
2017/04/19,6390.33,6401.41,6285.99,6350.65,6350.65,87000447
2017/04/20,6349.41,6377.80,6299.89,6347.77,6347.77,79174157
2017/04/21,6345.77,6364.67,6296.81,6300.71,6300.71,60871101
